id,title,image-url,categories,tags
a9ok7,Drone utkledd som måke kaster lys over skjult overvåking,https://ap.mnocdn.no/images/745fcabd-2260-4e4e-8f02-8bc51317cb1f?fit=crop&q=80&w=480,[kultur],"[kunst, kunstanmeldelse, overvåking]"
a9pGL,Konspirasjonsteoretikerne slår tilbake: Tror fortsatt Clinton leder pedofili-nettverk,http://ap.mnocdn.no/images/acaa6442-64f2-4578-bf31-2de5cf5155cf?fit=crop&q=80&w=480,[verden],[]
a9pOL,"Høyre: Cicero sammenligner epler og pærer. Cicero: OK, men bedre enn ingenting",http://ap.mnocdn.no/images/4d925e19-e4d3-4986-be16-e77b7ff21d34?fit=crop&q=80&w=480,[okonomi],"[cicero, statsbudsjettet, klimautslipp, høyre (h)]"
a9qeL,Den gamle gravplassen i Aleppo ble fylt opp i fjor. I forrige uke var det fullt på den nye gravplassen.,https://ap.mnocdn.no/images/0b22c189-5e38-4a4a-b1d2-9981714d8802?fit=crop&q=80&w=480,[verden],[syria]
a9qld,Student hengt i Afghanistan,,[verden],[]
a9x57,Ugreit i Kvadraturen | Janne Wilberg,https://ap.mnocdn.no/images/42dabcc2-6233-4ea6-bacc-24053ea3dc6c?fit=crop&q=80&w=480,"[meninger, debatt]","[kvadraturen, oslo, arkitektur]"
a9xwL,«Agnus Dei»: Hardt prøvede nonner,https://ap.mnocdn.no/images/f68f34a9-4e75-4dfa-92da-78bcc2ded7a7?fit=crop&q=80&w=480,[kultur],"[film, religion, filmanmeldelse]"
a9yPL,Italia inn i utrygt farvann,http://ap.mnocdn.no/images/38316940-8ed3-4ed5-aa42-90d28066122a?fit=crop&q=80&w=480,"[meninger, kommentar]",[italia]
a9zVA,Putin møter presidenter fra tidligere Sovjet-stater,https://ap.mnocdn.no/images/b2584582-0e63-46d5-9ba5-953c3d63fa8e?fit=crop&q=80&w=480,[verden],"[russland, vladimir putin]"
bx08k,Blokkerte gaten med søppel da det ikke hadde blitt hentet på to uker,https://ap.mnocdn.no/images/fad60444-fdc3-4795-a2ee-1fcf449daaf9?fit=crop&q=80&w=480,[osloby],"[oslo, avfall]"
bx0R5,Flystyrten i Svartehavet var neppe terror,https://ap.mnocdn.no/images/8ba74254-df6a-4d6d-ab34-590f9fc78b08?fit=crop&q=80&w=480,[verden],"[russland, fly]"
bx25B,Nominert til Årets osloborger: Frode Woldsund,https://ap.mnocdn.no/images/0aeee039-918e-4807-958d-c0f400806998?fit=crop&q=80&w=480,[osloby],[]
bx4Qv,Aftenposten mener: Endelig avklaring i Colombia,http://ap.mnocdn.no/images/df3899e1-3a94-4e1c-9d88-869f0d36372e?fit=crop&q=80&w=480,"[meninger, leder]","[colombia, fn, krig, folkeavstemning]"
bx4wl,Aftenpostens filmanmeldere kårer årets beste filmer,https://ap.mnocdn.no/images/e444a281-6eae-403e-b663-a01f3ca00731?fit=crop&q=80&w=480,[kultur],[film]
bxAdv,"Aftenposten mener: Liten grunn til begeistring, ingen grunn til panikk",https://ap.mnocdn.no/images/d7223074-a020-470b-b5ae-2d01abbbd5c9?fit=crop&q=80&w=480,"[meninger, leder]","[globalisering, fattigdom, demokrati]"
bxAvl,Fire omkom i Oslo-trafikken i 2016,https://ap.mnocdn.no/images/3a2daee5-8a0d-4cb2-968d-b1a2f4f4a624?fit=crop&q=80&w=480,[osloby],"[oslo, statens vegvesen, trafikkulykker, sykkel]"
bxJMd,Kan det bli fred i Syria etter slaget om Aleppo?,https://ap.mnocdn.no/images/83f83568-e1be-4361-a2c1-ae11b21f8e46?fit=crop&q=80&w=480,[verden],"[den islamske staten (is), bashar al-assad, syriakrigen]"
bxPzA,Kjenner du deg igjen? Slik så det ut bak Slottet før de store bygårdene og murvillaene,https://ap.mnocdn.no/images/f5aa53ff-f174-4a89-9e52-0dfe61997ef7?fit=crop&q=80&w=480,[osloby],"[oslo før, arkitektur, byutvikling]"
bxaGe,Zelda og Super-Mario i spillkonsert med Oslo-Filharmonien,http://ap.mnocdn.no/images/36c6dbe3-6505-4c84-a84b-fe76fbacf147?fit=crop&q=80&w=480,[osloby],"[musikk, dataspill, barn]"
bxb0k,I de to Alfenes viseverden,https://ap.mnocdn.no/images/c5c0b1db-5586-4869-b9bb-f3b5f9be3e95?fit=crop&q=80&w=480,[kultur],"[alf prøysen, litteratur, musikk, bokanmeldelse]"
bxb6A,Uendret rente fra Norges Bank i dag og «de neste årene»,https://ap.mnocdn.no/images/53e4691f-23b0-4ed9-abfc-47878c20619d?fit=crop&q=80&w=480,[okonomi],"[norges bank, økonomi]"
bxb95,I det storpolitiske spillet mellom Putin og japanerne brukes mange smarte triks. I potten ligger en historisk fredsavtale.,https://ap.mnocdn.no/images/c0c42853-c5f3-42a6-bad0-51da8a740f99?fit=crop&q=80&w=480,[verden],"[russland, japan]"
